,equipment_id,station_id,station_name,serial_number,start_time,end_time,part_family,part_id
7329,4,6,1,1854,2024-04-04 18:37:27.097,2024-04-04 18:37:50.559,1,62ed1ca7-810d-415f-b4cf-9f9672c0b5b4
7330,0,5,0,1844,2024-04-04 18:36:09.565,2024-04-04 18:38:12.577,1,29809bc5-eea1-4d1f-a541-e536e2e803ed
7331,3,0,0,1842,2024-04-04 18:36:52.777,2024-04-04 18:38:39.074,1,e9403835-c714-47c8-b996-b5b1e6843589
7332,6,2,2,1851,2024-04-04 18:38:38.917,2024-04-04 18:39:17.265,1,331273e5-d542-40de-a8b3-1fb53a332b09
7333,1,1,0,1841,2024-04-04 18:38:30.578,2024-04-04 18:40:10.287,1,6d7e198f-d9e1-4e24-8577-920bb212c0b6
7334,6,2,2,1854,2024-04-04 18:39:37.056,2024-04-04 18:40:14.016,1,62ed1ca7-810d-415f-b4cf-9f9672c0b5b4
7335,2,3,0,1839,2024-04-04 18:39:15.810,2024-04-04 18:40:52.255,1,f6ce48eb-b490-45e0-b6ef-463283df5bf2
7336,0,5,0,1838,2024-04-04 18:43:07.222,2024-04-04 18:45:06.340,1,29acc99e-44f6-4acd-bf4f-476f9acab953
7337,2,3,0,1851,2024-04-04 18:43:49.824,2024-04-04 18:45:26.038,1,b42e9890-a5c3-478e-a301-96114ac7318f
7338,4,6,1,1857,2024-04-04 18:45:17.722,2024-04-04 18:45:40.053,1,0c13684d-e202-425c-aa15-d5afe366df38
7339,4,6,1,1859,2024-04-04 18:46:02.866,2024-04-04 18:46:25.933,1,fae650d3-390a-4c9d-9570-96089102bc36
7340,1,1,0,1854,2024-04-04 18:44:55.260,2024-04-04 18:46:46.590,1,e2aa2a2d-2bee-4bff-9537-2b658fc2acfc
7341,6,2,2,1673,2024-04-04 16:51:24.568,2024-04-04 16:52:01.077,1,4760387c-48a3-43b5-bc05-2e7466c71c84
7342,4,6,1,1685,2024-04-04 16:51:39.551,2024-04-04 16:52:02.461,1,6b9a0385-9de1-4d0c-a27b-aa7492753880
7343,6,2,2,1674,2024-04-04 16:52:25.313,2024-04-04 16:53:02.132,1,31c45a56-a70a-4d24-94bb-201e4dc86c56
7344,4,6,1,1684,2024-04-04 16:52:40.206,2024-04-04 16:53:04.092,1,24ccdfc8-b475-47c8-bd58-bf5f0e4bf86d
7345,2,3,0,1700,2024-04-04 16:51:31.920,2024-04-04 16:53:13.871,1,681c25d8-f710-4f0a-ac2d-f82fc21d35e0
7346,3,0,0,1701,2024-04-04 16:52:37.957,2024-04-04 16:54:11.147,1,16c547c1-4649-46c0-882d-66834ee32ddc
7347,0,5,0,1689,2024-04-04 16:40:37.463,2024-04-04 16:54:23.737,1,b5667814-ceea-4c14-804b-797e6223b98c
7348,6,2,2,1685,2024-04-04 16:54:17.064,2024-04-04 16:54:55.465,1,6b9a0385-9de1-4d0c-a27b-aa7492753880
7349,4,6,1,1683,2024-04-04 16:54:32.174,2024-04-04 16:54:55.510,1,5450dd11-2778-47d8-b106-5edddbec6986
7350,1,1,0,1672,2024-04-04 16:54:09.228,2024-04-04 16:55:48.309,1,ac029493-3877-45e8-b456-8f8236cb521e
7351,6,2,2,1684,2024-04-04 16:55:14.242,2024-04-04 16:55:51.641,1,24ccdfc8-b475-47c8-bd58-bf5f0e4bf86d
7352,4,6,1,1682,2024-04-04 16:55:29.332,2024-04-04 16:55:52.653,1,b3b2feca-ac8c-4d9c-8f2c-fcc7f2066fe7
7353,6,2,2,1683,2024-04-04 16:56:57.009,2024-04-04 16:57:34.086,1,5450dd11-2778-47d8-b106-5edddbec6986
7354,4,6,1,1807,2024-04-04 18:56:26.046,2024-04-04 18:56:49.174,1,5c36ca41-639a-4b61-8de4-86d7bb479344
7355,4,6,1,1858,2024-04-04 18:46:49.000,2024-04-04 18:47:11.692,1,f6311237-499c-4be7-8659-026be5a8c1ef
7356,6,2,2,1859,2024-04-04 18:47:07.208,2024-04-04 18:47:43.055,1,fae650d3-390a-4c9d-9570-96089102bc36
7357,4,6,1,1860,2024-04-04 18:47:34.629,2024-04-04 18:47:58.163,1,497f8db2-3e51-4afd-bcfc-0a5311a9b6da
7358,6,2,2,1858,2024-04-04 18:48:01.917,2024-04-04 18:48:37.331,1,f6311237-499c-4be7-8659-026be5a8c1ef
7359,0,5,0,1857,2024-04-04 18:47:54.175,2024-04-04 18:49:36.230,1,57ac348a-ec27-40b3-abcd-2830cdd30247
7360,1,1,0,1859,2024-04-04 18:48:18.528,2024-04-04 18:49:55.672,1,8ccee46a-4f2c-4306-8300-aa2b7487181b
7361,2,3,0,1858,2024-04-04 18:49:33.864,2024-04-04 18:51:10.466,1,60a173b2-547b-41f4-bd62-ba4c8bb2466b
7362,4,6,1,1799,2024-04-04 18:52:02.598,2024-04-04 18:52:25.946,1,ffcac476-775c-4a24-9761-ace8db8e87ff
7363,6,2,2,1860,2024-04-04 18:52:19.552,2024-04-04 18:52:56.338,1,497f8db2-3e51-4afd-bcfc-0a5311a9b6da
7364,4,6,1,1800,2024-04-04 18:52:48.718,2024-04-04 18:53:11.849,1,05ac9dca-3ca2-401b-ba36-34eabbaa49da
7365,6,2,2,1803,2024-04-04 18:56:57.808,2024-04-04 18:57:34.416,1,13fe67bb-9004-435c-a279-11d2d805c46a
7366,6,2,2,1799,2024-04-04 18:53:15.733,2024-04-04 18:53:52.529,1,ffcac476-775c-4a24-9761-ace8db8e87ff
7367,4,6,1,1808,2024-04-04 18:57:21.068,2024-04-04 18:57:43.824,1,48a1b0a9-234f-4619-b4e0-bedcb8694fc8
7368,1,1,0,1799,2024-04-04 18:54:29.259,2024-04-04 18:58:27.141,1,642ec028-ad98-453a-94ae-f636f1c8fcda
7369,6,2,2,1807,2024-04-04 18:57:52.438,2024-04-04 18:58:27.919,1,5c36ca41-639a-4b61-8de4-86d7bb479344
7370,4,6,1,1809,2024-04-04 18:58:22.013,2024-04-04 18:58:46.238,1,60e5ee1a-9a7d-40f2-831b-cc8aebf91e2e
7371,3,0,0,1802,2024-04-04 18:57:36.085,2024-04-04 18:59:10.036,1,8bf6e4fa-7972-4708-9830-8e6f25f846e6
7372,6,2,2,1808,2024-04-04 18:58:47.566,2024-04-04 18:59:24.249,1,48a1b0a9-234f-4619-b4e0-bedcb8694fc8
7373,0,5,0,1801,2024-04-04 18:56:48.595,2024-04-04 18:59:44.756,1,6491fb6f-7932-474e-8caa-b29a8a530c47
7374,4,6,1,1797,2024-04-04 18:59:39.963,2024-04-04 19:00:02.587,1,4ee853fe-f35e-4748-975e-0dad34153a19
7375,6,2,2,1809,2024-04-04 18:59:42.719,2024-04-04 19:00:19.322,1,60e5ee1a-9a7d-40f2-831b-cc8aebf91e2e
